GrandPrix,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,52.0,SOFT,16.0,23.652866242038222,95.183
Bahrain,53.0,SOFT,17.0,23.652866242038222,95.842
Bahrain,54.0,SOFT,18.0,23.652866242038222,95.459
Bahrain,55.0,SOFT,19.0,23.652866242038222,95.611
Bahrain,56.0,SOFT,20.0,23.652866242038222,95.568
Bahrain,57.0,SOFT,21.0,23.652866242038222,95.746
Bahrain,2.0,SOFT,5.0,23.652866242038222,97.236
Bahrain,3.0,SOFT,6.0,23.652866242038222,97.08
Bahrain,4.0,SOFT,7.0,23.652866242038222,97.264
Bahrain,5.0,SOFT,8.0,23.652866242038222,98.032
Bahrain,6.0,SOFT,9.0,23.652866242038222,97.741
Bahrain,7.0,SOFT,10.0,23.652866242038222,98.26
Bahrain,8.0,SOFT,11.0,23.652866242038222,98.183
Bahrain,9.0,SOFT,12.0,23.652866242038222,98.03
Bahrain,11.0,SOFT,14.0,23.652866242038222,97.656
Bahrain,12.0,SOFT,15.0,23.652866242038222,97.65
Bahrain,13.0,SOFT,16.0,23.652866242038222,97.243
Bahrain,14.0,SOFT,17.0,23.652866242038222,99.753
Bahrain,15.0,HARD,1.0,23.652866242038222,117.225
Bahrain,16.0,HARD,2.0,23.652866242038222,96.376
Bahrain,17.0,HARD,3.0,23.652866242038222,95.507
Bahrain,18.0,HARD,4.0,23.652866242038222,96.088
Bahrain,19.0,HARD,5.0,23.652866242038222,96.236
Bahrain,20.0,HARD,6.0,23.652866242038222,96.034
Bahrain,21.0,HARD,7.0,23.652866242038222,96.104
Bahrain,22.0,HARD,8.0,23.652866242038222,96.008
Bahrain,23.0,HARD,9.0,23.652866242038222,96.149
Bahrain,24.0,HARD,10.0,23.652866242038222,96.2
Bahrain,25.0,HARD,11.0,23.652866242038222,96.22
Bahrain,26.0,HARD,12.0,23.652866242038222,96.221
Bahrain,27.0,HARD,13.0,23.652866242038222,96.272
Bahrain,28.0,HARD,14.0,23.652866242038222,96.534
Bahrain,29.0,HARD,15.0,23.652866242038222,96.6
Bahrain,30.0,HARD,16.0,23.652866242038222,96.337
Bahrain,31.0,HARD,17.0,23.652866242038222,96.537
Bahrain,32.0,HARD,18.0,23.652866242038222,96.762
Bahrain,33.0,HARD,19.0,23.652866242038222,96.556
Bahrain,34.0,HARD,20.0,23.652866242038222,96.551
Bahrain,35.0,HARD,21.0,23.652866242038222,99.274
Bahrain,36.0,HARD,1.0,23.652866242038222,115.62
Bahrain,37.0,HARD,2.0,23.652866242038222,95.302
Bahrain,38.0,HARD,3.0,23.652866242038222,95.1
Bahrain,39.0,HARD,4.0,23.652866242038222,94.709
Bahrain,40.0,HARD,5.0,23.652866242038222,94.739
Bahrain,41.0,HARD,6.0,23.652866242038222,95.041
Bahrain,42.0,HARD,7.0,23.652866242038222,94.861
Bahrain,43.0,HARD,8.0,23.652866242038222,94.795
Bahrain,44.0,HARD,9.0,23.652866242038222,94.507
Bahrain,45.0,HARD,10.0,23.652866242038222,94.79
Bahrain,46.0,HARD,11.0,23.652866242038222,94.853
Bahrain,47.0,HARD,12.0,23.652866242038222,94.901
Bahrain,48.0,HARD,13.0,23.652866242038222,94.981
Bahrain,49.0,HARD,14.0,23.652866242038222,95.44
Bahrain,50.0,HARD,15.0,23.652866242038222,95.142
Bahrain,51.0,HARD,16.0,23.652866242038222,95.282
Bahrain,52.0,HARD,17.0,23.652866242038222,95.083
Bahrain,53.0,HARD,18.0,23.652866242038222,95.211
Bahrain,54.0,HARD,19.0,23.652866242038222,95.309
Bahrain,55.0,HARD,20.0,23.652866242038222,95.407
Bahrain,56.0,HARD,21.0,23.652866242038222,95.305
Bahrain,57.0,HARD,22.0,23.652866242038222,95.327
Bahrain,2.0,SOFT,5.0,23.652866242038222,96.862
Bahrain,3.0,SOFT,6.0,23.652866242038222,98.062
Bahrain,4.0,SOFT,7.0,23.652866242038222,97.752
Bahrain,5.0,SOFT,8.0,23.652866242038222,98.131
Bahrain,6.0,SOFT,9.0,23.652866242038222,97.782
Bahrain,7.0,SOFT,10.0,23.652866242038222,98.957
Bahrain,8.0,SOFT,11.0,23.652866242038222,98.136
Bahrain,9.0,SOFT,12.0,23.652866242038222,97.844
Bahrain,11.0,SOFT,14.0,23.652866242038222,101.737
Bahrain,12.0,HARD,1.0,23.652866242038222,117.471
Bahrain,13.0,HARD,2.0,23.652866242038222,96.432
Bahrain,14.0,HARD,3.0,23.652866242038222,96.756
Bahrain,15.0,HARD,4.0,23.652866242038222,96.813
Bahrain,16.0,HARD,5.0,23.652866242038222,96.673
Bahrain,17.0,HARD,6.0,23.652866242038222,97.302
Bahrain,18.0,HARD,7.0,23.652866242038222,97.438
Bahrain,19.0,HARD,8.0,23.652866242038222,96.821
Bahrain,20.0,HARD,9.0,23.652866242038222,96.794
Bahrain,21.0,HARD,10.0,23.652866242038222,96.977
Bahrain,22.0,HARD,11.0,23.652866242038222,96.796
Bahrain,23.0,HARD,12.0,23.652866242038222,96.987
Bahrain,24.0,HARD,13.0,23.652866242038222,96.924
Bahrain,25.0,HARD,14.0,23.652866242038222,96.76
Bahrain,26.0,HARD,15.0,23.652866242038222,96.81
Bahrain,27.0,HARD,16.0,23.652866242038222,96.831
Bahrain,28.0,HARD,17.0,23.652866242038222,96.907
Bahrain,29.0,HARD,18.0,23.652866242038222,96.963
Bahrain,30.0,HARD,19.0,23.652866242038222,97.158
Bahrain,31.0,HARD,20.0,23.652866242038222,97.031
Bahrain,32.0,HARD,21.0,23.652866242038222,96.941
Bahrain,33.0,HARD,22.0,23.652866242038222,96.741
Bahrain,34.0,HARD,23.0,23.652866242038222,99.614
Bahrain,35.0,HARD,1.0,23.652866242038222,116.166
Bahrain,36.0,HARD,2.0,23.652866242038222,94.09
Bahrain,37.0,HARD,3.0,23.652866242038222,94.897
Bahrain,38.0,HARD,4.0,23.652866242038222,94.783
Bahrain,39.0,HARD,5.0,23.652866242038222,95.087
Bahrain,40.0,HARD,6.0,23.652866242038222,94.859
Bahrain,41.0,HARD,7.0,23.652866242038222,95.028
Bahrain,42.0,HARD,8.0,23.652866242038222,94.982
Bahrain,43.0,HARD,9.0,23.652866242038222,95.192
Bahrain,44.0,HARD,10.0,23.652866242038222,95.051
Bahrain,45.0,HARD,11.0,23.652866242038222,95.22
Bahrain,46.0,HARD,12.0,23.652866242038222,95.058
